_id,avoid_foods,color,description,emoji,id,name,recommended_foods
67e5af7f1f92c6655e44a83a,"[""Processed foods"", ""Excessive caffeine"", ""Alcohol""]",green,"Feeling joyful, content, or pleased",:),happy,Happy,"[""Dark chocolate"", ""Berries"", ""Nuts"", ""Whole grains"", ""Yogurt""]"
67e5af7f1f92c6655e44a83b,"[""Sugary foods"", ""Alcohol"", ""Processed foods""]",blue,"Feeling down, blue, or unhappy",:(,sad,Sad,"[""Fatty fish (salmon, tuna)"", ""Walnuts"", ""Dark chocolate"", ""Bananas"", ""Oats""]"
67e5af7f1f92c6655e44a83c,"[""Caffeine"", ""Alcohol"", ""Sugary foods"", ""Processed foods""]",yellow,Feeling overwhelmed or anxious,:/,stressed,Stressed,"[""Dark leafy greens"", ""Avocados"", ""Warm herbal teas"", ""Complex carbohydrates"", ""Citrus fruits""]"
67e5af7f1f92c6655e44a83d,"[""Caffeine"", ""Spicy foods"", ""Heavy meals""]",indigo,Feeling calm and at ease,:},relaxed,Relaxed,"[""Chamomile tea"", ""Turkey"", ""Warm milk"", ""Bananas"", ""Oatmeal""]"
67e5af7f1f92c6655e44a83e,"[""Heavy, fatty meals"", ""Excessive sugar"", ""Processed foods""]",purple,Feeling full of energy and vitality,:D,energetic,Energetic,"[""Fruits"", ""Whole grains"", ""Lean proteins"", ""Nuts and seeds"", ""Green tea""]"
67e5af7f1f92c6655e44a83f,"[""Sugary foods"", ""Caffeine (especially later in the day)"", ""Heavy meals""]",gray,Feeling fatigued or sleepy,|-O,tired,Tired,"[""Iron-rich foods (spinach, lean meats)"", ""B-vitamin foods (whole grains, eggs)"", ""Nuts"", ""Bananas"", ""Water""]"
67e5af7f1f92c6655e44a840,"[""Simple carbohydrates"", ""Sugary snacks"", ""Highly processed foods""]",orange,Feeling a strong desire for food,O-O,hungry,Hungry,"[""Protein-rich foods"", ""Fiber-rich foods"", ""Healthy fats"", ""Complex carbohydrates"", ""Soups and stews""]"
67e5af7f1f92c6655e44a841,"[""Comfort foods (may lead to emotional eating)"", ""Mindless snacking"", ""Highly processed foods""]",pink,Feeling uninterested or lacking stimulation,-_-,bored,Bored,"[""Crunchy foods (carrots, apples)"", ""Flavorful foods with spices"", ""Foods that require preparation"", ""New or exotic foods"", ""Colorful foods""]"
67e5af7f1f92c6655e44a842,"[""Dairy products"", ""Fatty foods"", ""Caffeine"", ""Alcohol"", ""Spicy foods""]",red,Feeling unwell or ill,>_<,sick,Sick,"[""Chicken soup"", ""Ginger tea"", ""Honey and lemon"", ""Bland foods (toast, rice)"", ""Clear broths""]"
67e5af7f1f92c6655e44a843,"[""Excessive alcohol"", ""Too many rich foods at once""]",teal,Feeling festive or wanting to celebrate,^_^,celebratory,Celebratory,"[""Special occasion foods"", ""Colorful dishes"", ""Shared platters"", ""Favorite treats in moderation"", ""Festive beverages""]"
